"row"	"col"	"value"
"278"	"MC-50-3-TX"	"MP-50-3-T0"	38.3618702037074
"279"	"HC-50-3-TX"	"MP-50-3-T0"	39.1502129493135
"280"	"MA-50-3-T2"	"MP-50-3-T0"	39.3318272258588
"281"	"MP-50-2-TX"	"MP-50-3-T0"	37.6460285807152
"282"	"MC-50-2-TX"	"MP-50-3-T0"	39.2668487867919
"283"	"HC-50-2-TX"	"MP-50-3-T0"	37.4530536120893
"284"	"MC-50-1-TX"	"MP-50-3-T0"	38.8042227427426
"285"	"CTRL-50-3-TX"	"MP-50-3-T0"	39.3260423913334
"286"	"HP-50-1-TM"	"MP-50-3-T0"	34.8747615275815
"287"	"MP-50-2-TM"	"MP-50-3-T0"	34.4194022801291
"288"	"CTRL-50-3-TM"	"MP-50-3-T0"	34.4420543280113
"289"	"HP-50-3-TX"	"MP-50-3-T0"	34.7421585310151
"290"	"HP-50-3-T0"	"MP-50-3-T0"	34.7090632484193
"291"	"LN-50-2-T0"	"MP-50-3-T0"	37.2579159408625
"292"	"LN-50-3-T0"	"MP-50-3-T0"	37.0873837454828
"293"	"MA-50-2-T0"	"MP-50-3-T0"	38.8253044072926
"294"	"MC-50-3-T0"	"MP-50-3-T0"	34.7669056613065
"295"	"MN-50-3-T0"	"MP-50-3-T0"	33.7798462693245
"296"	"HN-50-1-T0"	"MP-50-3-T0"	33.8097673524909
"297"	"HC-50-2-T0"	"MP-50-3-T0"	40.2893080443062
"298"	"HN-50-3-T0"	"MP-50-3-T0"	37.3229693569109
"299"	"MP-50-1-T0"	"LP-50-3-T0"	36.9199596912075
"300"	"MP-50-3-T0"	"LP-50-3-T0"	38.3684266419975
"301"	"LP-50-3-T0"	"LP-50-3-T0"	0
"302"	"HA-50-2-T0"	"LP-50-3-T0"	36.5950166815465
"303"	"MP-50-2-T0"	"LP-50-3-T0"	28.7690419778709
"304"	"MC-50-1-T0"	"LP-50-3-T0"	43.4029207211182
"305"	"MA-50-1-T0"	"LP-50-3-T0"	34.2108613858072
"306"	"MA-50-3-T0"	"LP-50-3-T0"	30.957267687398
"307"	"HC-50-3-T0"	"LP-50-3-T0"	39.1911363155117
"308"	"LA-50-3-T0"	"LP-50-3-T0"	31.7418049246297
"309"	"HC-50-1-T0"	"LP-50-3-T0"	37.8026984891382
"310"	"HA-50-3-T0"	"LP-50-3-T0"	34.5564343309307
"311"	"LA-50-1-T0"	"LP-50-3-T0"	35.9633799914996
"312"	"HN-50-2-T0"	"LP-50-3-T0"	37.143090894964
"313"	"LN-50-3-T1"	"LP-50-3-T0"	40.1863807301128
"314"	"HA-50-3-T1"	"LP-50-3-T0"	32.134742958927
"315"	"LN-50-2-T1"	"LP-50-3-T0"	38.9024230288883
"316"	"MA-50-2-T1"	"LP-50-3-T0"	32.1683573533274
"317"	"HN-50-2-T1"	"LP-50-3-T0"	37.8907094259149
"318"	"MN-50-3-T2"	"LP-50-3-T0"	47.3046273863376
"319"	"MA-50-3-T3"	"LP-50-3-T0"	31.6130453375549
"320"	"MN-50-1-T4"	"LP-50-3-T0"	34.029578119631
"321"	"LN-50-2-T4"	"LP-50-3-T0"	31.1137995416633
"322"	"LN-50-3-T2"	"LP-50-3-T0"	38.0805963147077
"323"	"MN-50-1-T2"	"LP-50-3-T0"	37.4414332326984
"324"	"HA-50-1-T4"	"LP-50-3-T0"	31.018715795365
"325"	"HA-50-3-T4"	"LP-50-3-T0"	40.1372851657949
"326"	"MP-50-2-TB"	"LP-50-3-T0"	32.3191423298711
