"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"HA-50-1-T0",50,0.893531708346523,3.04325157986728,"HA-50-1-T0","Susceptible",1,"HA","0","HA0","50_T0","50_T0","HA-50-1","T0","T0",7,"T0","50_0","Ammonium","0","T0","A0","N"
"CTRL-50-1-T0",54,0.882395435101988,2.86485909180194,"CTRL-50-1-T0","Susceptible",1,"NT","0","NT0","50_T0","50_T0","CTRL-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MN-50-1-T0",70,0.901551123773346,3.22217766057169,"MN-50-1-T0","Susceptible",1,"LN","0","LN0","50_T0","50_T0","MN-50-1","T0","T0",4,"T0","50_0","Nitrate","0","T0","N0","N"
"MN-50-2-T0",66,0.906177709596513,3.25536175014886,"MN-50-2-T0","Susceptible",2,"LN","0","LN0","50_T0","50_T0","MN-50-2","T0","T0",4,"T0","50_0","Nitrate","0","T0","N0","N"
"CTRL-50-3-T0",50,0.927330135307343,3.30817587797505,"CTRL-50-3-T0","Susceptible",3,"NT","0","NT0","50_T0","50_T0","CTRL-50-3","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"HP-50-1-T0",51,0.87239551627016,2.81637385331618,"HP-50-1-T0","Susceptible",1,"HP","0","HP0","50_T0","50_T0","HP-50-1","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"LC-50-3-T0",55,0.926745724466522,3.28564058350247,"LC-50-3-T0","Susceptible",3,"HC","0","HC0","50_T0","50_T0","LC-50-3","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"CTRL-50-2-T0",18,0.756487366173976,1.75642426243621,"CTRL-50-2-T0","Susceptible",2,"NT","3","NT3","50_NT","50_NT","CTRL-50-2","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"LA-50-3-T4",10,0.774587868604963,1.80912802486751,"LA-50-3-T4","Susceptible",3,"HA","6","HA6","50_HA","50_A","LA-50-3","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HN-50-3-T4",48,0.941209892776844,3.26266940884825,"HN-50-3-T4","Susceptible",3,"HN","6","HN6","50_HN","50_N","HN-50-3","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"HN-50-1-T1",14,0.711309161451612,1.64664416666886,"HN-50-1-T1","Susceptible",1,"HN","3","HN3","50_HN","50_N","HN-50-1","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"LA-50-1-T1",21,0.898840106817315,2.51474642308542,"LA-50-1-T1","Susceptible",1,"NT","3","NT3","50_NT","50_NT","LA-50-1","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"MA-50-1-T4",36,0.954878612998271,3.2512743693002,"MA-50-1-T4","Susceptible",1,"LA","6","LA6","50_LA","50_A","MA-50-1","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
"HN-50-3-T1",12,0.612819701138789,1.33273126307823,"HN-50-3-T1","Susceptible",3,"HN","3","HN3","50_HN","50_N","HN-50-3","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"LA-50-2-T1",22,0.377772907687438,1.10265674239252,"LA-50-2-T1","Susceptible",2,"LA","6","LA6","50_LA","50_A","LA-50-2","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
