SampleID	Genotype	Phenotype	Rep	Nutrient	Exposure_weeks	Nutrient_weeks	Nutrient_geno	Nutrient_merged_geno	Tank	T0_merge	NW_T0_merge	Nutrient_order	Nutrient_no_level	Geno_weeks	No_level_no_T0	Level	No_level_weeks	No_level_weeks_noT0	outlier
LP-50-2-T0	50	Susceptible	2	LP	0	LP0	50_T0	50_T0	LP-50-2	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
HN-50-2-T0	50	Susceptible	2	HN	0	HN0	50_T0	50_T0	HN-50-2	T0	T0	5	T0	50_0	Nitrate	0	T0	N0	N
LN-50-3-T1	50	Susceptible	3	HN	3	HN3	50_HN	50_N	LN-50-3	HN	HN3	5	Nitrate	50_3	Nitrate	H	N3	N3	N
LA-50-1-T2	50	Susceptible	1	NT	3	NT3	50_NT	50_NT	LA-50-1	NT	NT3	1	No Treatment	50_3	No Treatment	0	NT3	NT3	N
CTRL-50-4-TB	50	Susceptible	4	NT	0	NT0	50_T0	50_T0	CTRL-50-4	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
CTRL-50-3-TB	50	Susceptible	3	NT	0	NT0	50_T0	50_T0	CTRL-50-3	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
LP-50-1-T0	50	Susceptible	1	NT	0	NT0	50_T0	50_T0	LP-50-1	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
CTRL-50-1-T0	50	Susceptible	1	NT	0	NT0	50_T0	50_T0	CTRL-50-1	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
CTRL-50-3-T0	50	Susceptible	3	NT	0	NT0	50_T0	50_T0	CTRL-50-3	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
CTRL-50-2-T0-2	50	Susceptible	2	NT	3	NT3	50_NT	50_NT	CTRL-50-2	NT	NT3	1	No Treatment	50_3	No Treatment	0	NT3	NT3	N
LA-50-1-T1	50	Susceptible	1	NT	3	NT3	50_NT	50_NT	LA-50-1	NT	NT3	1	No Treatment	50_3	No Treatment	0	NT3	NT3	N
